제목,작가,날짜,링크,유료,성인,미리보기,카테고리,장르,키워드,공,수,엔딩,AI제안장르,AI제안키워드,AI제안공,AI제안수,AI제안엔딩,요약,본문추출,AI원본응답,AI신뢰도,AI처리일시,정리메모,시리즈,시리즈명,시리즈회차,연재상태,상태근거,시리즈열통일,시리즈열통일메모,장르키워드5개제한,장르키워드5개제한메모
환절기 (換節期),뮹니,2026-06-14,https://www.postype.com/@nflyingnfia/post/22397085,X,X,뮹니 19시간 전  ·  only 혚쾌 구독 환절기 (換節期) 계절이 가면 새 사랑을 내게 주세요 겨울이 지나고 날씨가 따뜻해지기 시작하는 봄이 되었다. 따뜻하고.. 달달하고.. ,글,일상물,"달달물, 잔잔물",,,,,,,,,계절의 변화와 함께 따뜻하고 달달한 분위기를 풍기는 일상물,겨울이 지나고 날씨가 따뜻해지기 시작하는 봄이 되었다. 따뜻하고.. 달달하고..,"{""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""달달물"",""잔잔물""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""계절의 변화와 함께 따뜻하고 달달한 분위기를 풍기는 일상물"",""evidence"":""겨울이 지나고 날씨가 따뜻해지기 시작하는 봄이 되었다. 따뜻하고.. 달달하고.."",""confidence"":0.7,""note"":""미리보기의 달달하고 따뜻한 묘사를 바탕으로 일상물, 달달물, 잔잔물로 분류함""}",0.7,2026-06-14 20:16,,,,,,,,,Y,"장르 현대물 제거: 현대물, 일상물 -> 일상물"
소환사 협곡의 러브 레볼루션 0,제식,2026-06-09,https://www.postype.com/@romanticismonandon/post/22458294,X,X,"제식 5일 전  ·  울지 마! 구독 소환사 협곡의 러브 레볼루션 0 혚쾌 학뮤 숨을 깊게 내쉬었다. 11월 말. LCK 컵, 퍼스트 스탠드, 스프링 시즌과 MSI, 썸머 시즌, ",글,e스포츠물,프로게이머,,,,e스포츠물,프로게이머,,,,LCK 및 다양한 시즌이 언급되는 e스포츠 배경의 현대 스포츠물,"LCK 컵, 퍼스트 스탠드, 스프링 시즌과 MSI, 썸머 시즌","{""category"":""글"",""genres"":[""현대물"",""스포츠물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""e스포츠물""],""suggested_keywords"":[""프로게이머""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""LCK 및 다양한 시즌이 언급되는 e스포츠 배경의 현대 스포츠물"",""evidence"":""LCK 컵, 퍼스트 스탠드, 스프링 시즌과 MSI, 썸머 시즌"",""confidence"":0.8,""note"":""프롤로그 분량으로 구체적인 캐릭터 성향이나 로맨스 키워드 파악은 어려우나 LCK 등 e스포츠 배경임이 확실함""}",0.8,2026-06-14 20:17,,Y,소환사 협곡의 러브 레볼루션,0,연재중,숫자회차,,,Y,"장르 현대물 제거: 현대물, e스포츠물 -> e스포츠물"
[혚쾌] Sober 下,HE,2026-06-01,https://www.postype.com/@sober-sz/post/22388203,X,O,HE 2026. 6. 1.  ·  sober [혚쾌] Sober 下 이승협 유회승 “너 정말 어떻게 하려고 그래.” 재현형은 아마 나를 똑바로 쳐다보고 있었을 테고 나는 일부러 고,글,피폐물,"비밀연애, 상처, 오해, 원나잇, 질투","집착공, 능글공","상처수, 후회수",,,,,,,이승협과 유회승을 주인공으로 한 현대 배경의 리얼물 성향의 글,"실존 인물 이름(이승협, 유회승, 재현)이 등장함","{""category"":""글"",""genres"":[""현대물"",""리얼물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""이승협과 유회승을 주인공으로 한 현대 배경의 리얼물 성향의 글"",""evidence"":""실존 인물 이름(이승협, 유회승, 재현)이 등장함"",""confidence"":0.5,""note"":""미리보기 분량이 매우 짧아 구체적인 캐릭터 성향 및 키워드 파악이 어렵습니다.""}",0.5,2026-06-14 20:17,,Y,Sober,下,완결,하편표기,Y,"장르: 현대물 -> 현대물, 피폐물 / 키워드: (빈칸) -> 비밀연애, 상처, 오해, 원나잇, 질투, 삼각관계 / 공: (빈칸) -> 집착공, 능글공 / 수: (빈칸) -> 상처수, 후회수",Y,"장르 현대물 제거: 현대물, 피폐물 -> 피폐물 / 키워드 5개 제한: 비밀연애, 상처, 오해, 원나잇, 질투, 삼각관계 -> 비밀연애, 상처, 오해, 원나잇, 질투"
머리부터 발 끝까지 완벽한 그 백작님에게 아직 약혼자가 없는 까닭에 대하여,이오,2026-05-31,https://www.postype.com/@92x954ever/post/21646009,X,O,이오 2026. 5. 31.  ·  때를 놓친 사랑은 재난일 뿐이다 머리부터 발 끝까지 완벽한 그 백작님에게 아직 약혼자가 없는 까닭에 대하여 성인 혚쾌 조회 640 43 4 0,글,"시대물, 서양풍, 판타지",후회,,,,"서양풍, 판타지물",약혼,,,,백작을 주인공으로 하여 시기를 놓친 사랑의 비극을 다룬 이야기,"제목의 '백작님', '약혼자' 및 미리보기의 '때를 놓친 사랑은 재난일 뿐이다'","{""category"":""글"",""genres"":[""시대물""],""keywords"":[""후회""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""서양풍"",""판타지물""],""suggested_keywords"":[""약혼"",""정략결혼""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""백작을 주인공으로 하여 시기를 놓친 사랑의 비극을 다룬 이야기"",""evidence"":""제목의 '백작님', '약혼자' 및 미리보기의 '때를 놓친 사랑은 재난일 뿐이다'"",""confidence"":0.7,""note"":""백작이라는 신분과 약혼자 언급을 통해 서양풍 시대물로 분류하였으며, 때를 놓친 사랑이라는 문구에서 후회 요소를 추정함.""}",0.7,2026-06-14 20:17,"genre: 서양풍, 판타지",,,,,,,,,
Return to love 1,x,2026-05-31,https://www.postype.com/@toyfro/post/22393038,X,X,"x 2026. 5. 31.  ·  toyfromy Return to love 1 혚쾌 ""너 대한민국에 마약이 얼마나 풀린 줄 알아?"" 무릎을 껴안은 회승이 다소 취객같은 발언을 했",글,현대물,,,,,,사건물,,,,대한민국 마약 유통에 대해 언급하는 회승의 이야기로 시작되는 현대물 소설,"""너 대한민국에 마약이 얼마나 풀린 줄 알아?"" 무릎을 껴안은 회승이","{""category"":""글"",""genres"":[""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""느와르""],""suggested_keywords"":[""사건물""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""대한민국 마약 유통에 대해 언급하는 회승의 이야기로 시작되는 현대물 소설"",""evidence"":""\""너 대한민국에 마약이 얼마나 풀린 줄 알아?\"" 무릎을 껴안은 회승이"",""confidence"":0.5,""note"":""미리보기가 매우 짧아 장르 및 키워드 추정에 한계가 있음""}",0.5,2026-06-14 20:18,,Y,Return to love,1,연재중,숫자회차,,,,
햇살이 온다 10 (完),220,2026-05-30,https://www.postype.com/@220thenight/post/22361601,X,X,220 2026. 5. 30.  ·  이 별에서 너가 가장 특별해 햇살이 온다 10 (完) 청게 혚쾌 31. 그 집에서 아침을 먹고 나온 뒤로 세 번째 금요일 밤이었다. 그걸 굳이,글,"청게, 학원물","학원물, 첫사랑, 상처, 잔잔물, 달달물","다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공","상처수, 까칠수, 굴림수, 순진수",,,혚쾌,,,,청게 장르의 소설 '햇살이 온다' 완결 회차,"미리보기의 '청게', '혚쾌', '10 (完)' 문구","{""category"":""글"",""genres"":[""청게""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""혚쾌""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""청게 장르의 소설 '햇살이 온다' 완결 회차"",""evidence"":""미리보기의 '청게', '혚쾌', '10 (完)' 문구"",""confidence"":0.9,""note"":""완결 표시가 있으나 구체적인 결말 상태(해피/새드)는 본문 내용 확인 불가로 제외함""}",0.9,2026-06-14 20:18,,Y,햇살이 온다,10 (完),완결,완결표기,Y,"장르: 청게 -> 청게, 학원물, 현대물 / 키워드: (빈칸) -> 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 / 공: (빈칸) -> 다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공 / 수: (빈칸) -> 상처수, 까칠수, 굴림수, 순진수",Y,"장르 현대물 제거: 청게, 학원물, 현대물 -> 청게, 학원물 / 키워드 5개 제한: 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물"
�� 특집다큐 [너라는 추억을],뮹니,2026-05-30,https://www.postype.com/@nflyingnfia/post/22337460,X,X,뮹니 2026. 5. 30.  ·  only 혚쾌 구독 🎥 특집다큐 [너라는 추억을] 05 #혚쾌 월요일이 되었다. 승협이 형과 일하는 마지막 날.. 직진.. 그래 이제 다 사실대,글,"일상물, 재회물, 리얼물","사내연애, 재회, 오해, 상처, 잠수이별","다정공, 후회공",상처수,,"팬픽, 알페스",직진,,,,승협과 일하는 마지막 날을 맞이하며 직진하기로 결심하는 이야기,승협이 형과 일하는 마지막 날.. 직진.. 그래 이제 다 사실대,"{""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""사내연애""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""팬픽"",""알페스""],""suggested_keywords"":[""직진""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""승협과 일하는 마지막 날을 맞이하며 직진하기로 결심하는 이야기"",""evidence"":""승협이 형과 일하는 마지막 날.. 직진.. 그래 이제 다 사실대"",""confidence"":0.6,""note"":""엔플라잉 팬픽(혚쾌)으로 추정되며, 일하는 관계에서 비롯된 감정을 다룸""}",0.6,2026-06-14 20:19,,Y,🎥 특집다큐 [너라는 추억을],,연재중,반복제목,Y,"장르: 현대물, 일상물 -> 현대물, 일상물, 재회물, 리얼물 / 키워드: 사내연애 -> 사내연애, 재회, 오해, 상처, 잠수이별 / 공: (빈칸) -> 다정공, 후회공 / 수: (빈칸) -> 상처수",Y,"장르 현대물 제거: 현대물, 일상물, 재회물, 리얼물 -> 일상물, 재회물, 리얼물"
오프사이드 2,푸르른,2026-05-25,https://www.postype.com/@pururun/post/22355359,X,X,"푸르른 2026. 5. 25.  ·  푸르른 달에 맘을 도둑맞듯 구독 오프사이드 2 축구선수 이승협, 그리고 유회승 오프사이드 04. 그 이후로 메시지가 시작됐다. 사실 처음에는 ",글,스포츠물,짝사랑,연예인공,짝사랑수,,"스포츠AU, RPS","축구선수, 메시지",,,,축구선수 이승협과 유회승을 주인공으로 한 스포츠 배경의 현대물 소설,"축구선수 이승협, 그리고 유회승 오프사이드","{""category"":""글"",""genres"":[""스포츠물"",""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""스포츠AU"",""RPS""],""suggested_keywords"":[""축구선수"",""메시지""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""축구선수 이승협과 유회승을 주인공으로 한 스포츠 배경의 현대물 소설"",""evidence"":""축구선수 이승협, 그리고 유회승 오프사이드"",""confidence"":0.8,""note"":""실존 인물(엔플라잉)을 캐릭터화한 스포츠 AU 소설로 추정됩니다.""}",0.8,2026-06-14 20:19,,Y,오프사이드,2,연재중,숫자회차,Y,키워드: (빈칸) -> 짝사랑 / 공: (빈칸) -> 연예인공 / 수: (빈칸) -> 짝사랑수,Y,"장르 현대물 제거: 스포츠물, 현대물 -> 스포츠물"
햇살이 온다 9,220,2026-05-23,https://www.postype.com/@220thenight/post/22338477,X,X,220 2026. 5. 23.  ·  이 별에서 너가 가장 특별해 햇살이 온다 9 청게 혚쾌 이승협. 처음 승협에게 회승은 같은 학교에 다니는 어떤 애라기보다 떠돌아다니는 소문에 ,글,"청게, 학원물","학원물, 첫사랑, 상처, 잔잔물, 달달물","다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공","상처수, 까칠수, 굴림수, 순진수",,알페스,아이돌RPS,,,,이승협과 유회승을 매칭한 청량한 분위기의 청게 학원물 소설,"미리보기의 '청게', '혚쾌', '같은 학교에 다니는 어떤 애' 문구","{""category"":""글"",""genres"":[""청게"",""학원물""],""keywords"":[""학원물""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""알페스""],""suggested_keywords"":[""아이돌RPS""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""이승협과 유회승을 매칭한 청량한 분위기의 청게 학원물 소설"",""evidence"":""미리보기의 '청게', '혚쾌', '같은 학교에 다니는 어떤 애' 문구"",""confidence"":0.9,""note"":""엔플라잉 멤버 이승협, 유회승 팬픽(RPS)으로 추정됨""}",0.9,2026-06-14 20:19,,Y,햇살이 온다,9,완결,완결표기,Y,"장르: 청게, 학원물 -> 청게, 학원물, 현대물 / 키워드: 학원물 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 / 공: (빈칸) -> 다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공 / 수: (빈칸) -> 상처수, 까칠수, 굴림수, 순진수",Y,"장르 현대물 제거: 청게, 학원물, 현대물 -> 청게, 학원물 / 키워드 5개 제한: 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물"
"사계절, 첫사랑",뮹니,2026-05-23,https://www.postype.com/@nflyingnfia/post/21959136,X,X,"뮹니 2026. 5. 23.  ·  only 혚쾌 구독 사계절, 첫사랑 [2] 따스한 봄 날씨에 생각나는 존재(2) 오늘은 승협이 형과 약속이 있는 토요일이다. 전날 밤에는 너무 ",글,"첫사랑물, 학원물, 청게","첫사랑, 짝사랑, 학원물, 선후배","다정공, 순정공","순진수, 짝사랑수, 연하수",,,"팬픽, 연하공연상수",,,,승협이 형과의 약속을 앞두고 설레는 첫사랑의 감정을 담은 현대물,"제목 '첫사랑', 본문 '승협이 형과 약속이 있는 토요일'","{""category"":""글"",""genres"":[""현대물"",""첫사랑물""],""keywords"":[""첫사랑""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""팬픽"",""연하공연상수""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""승협이 형과의 약속을 앞두고 설레는 첫사랑의 감정을 담은 현대물"",""evidence"":""제목 '첫사랑', 본문 '승협이 형과 약속이 있는 토요일'"",""confidence"":0.8,""note"":""커플링 '혚쾌(이승협x유회승)' 기반의 팬픽으로 추정되며, 승협이 형이라는 호칭으로 보아 연상/연하 관계가 나타남.""}",0.8,2026-06-14 20:19,,Y,"사계절, 첫사랑",,연재중,반복제목,Y,"장르: 현대물, 첫사랑물 -> 현대물, 첫사랑물, 학원물, 청게 / 키워드: 첫사랑 -> 첫사랑, 짝사랑, 학원물, 선후배 / 공: (빈칸) -> 다정공, 순정공 / 수: (빈칸) -> 순진수, 짝사랑수, 연하수",Y,"장르 현대물 제거: 현대물, 첫사랑물, 학원물, 청게 -> 첫사랑물, 학원물, 청게"
